identifiant,color
33004,'blue'
38001,'red'
59010,'red'
33007,'red'
ZA001,'red'
ZA002,'blue'
ZA003,'red'
ZA004,'blue'
01001,'red'
01002,'blue'
01003,'blue'
01004,'red'
01005,'blue'
02001,'red'
02002,'blue'
02003,'red'
02004,'blue'
02005,'red'
03001,'blue'
03002,'blue'
03003,'blue'
04001,'blue'
04002,'blue'
05001,'red'
05002,'blue'
06002,'blue'
06004,'red'
06005,'blue'
06006,'blue'
06007,'blue'
07001,'blue'
07002,'red'
07003,'blue'
08001,'red'
08002,'blue'
08003,'red'
09001,'blue'
09002,'red'
10001,'blue'
10002,'red'
11001,'red'
11002,'red'
11003,'blue'
12001,'blue'
12002,'blue'
12003,'blue'
13008,'blue'
13009,'blue'
13010,'red'
13011,'red'
13012,'red'
13013,'red'
13014,'blue'
13015,'blue'
13016,'red'
14001,'red'
14002,'blue'
14003,'blue'
14004,'blue'
14005,'red'
14006,'blue'
15001,'red'
15002,'blue'
16001,'blue'
16002,'blue'
16003,'red'
17001,'blue'
17002,'blue'
17003,'red'
17004,'blue'
17005,'blue'
18001,'blue'
18002,'red'
18003,'blue'
19001,'blue'
19002,'blue'
21002,'blue'
21004,'blue'
21005,'blue'
22001,'blue'
22002,'red'
22003,'red'
22004,'red'
22005,'red'
23001,'red'
24001,'red'
24002,'red'
24003,'red'
24004,'red'
25003,'red'
25004,'red'
25005,'red'
26001,'blue'
26002,'red'
26003,'red'
26004,'red'
27003,'red'
27004,'red'
27005,'red'
34006,'red'
38002,'blue'
56005,'red'
57006,'blue'
59005,'blue'
59006,'red'
59016,'red'
59017,'red'
59020,'red'
78004,'blue'
78005,'red'
83003,'red'
91001,'blue'
91006,'red'
92007,'red'
92012,'red'
93003,'red'
06001,'red'
31002,'blue'
31003,'blue'
33002,'red'
59008,'red'
59009,'red'
67003,'red'
69006,'blue'
95005,'red'
ZM001,'blue'
ZM002,'red'
13001,'red'
30001,'red'
30006,'red'
31004,'red'
59002,'blue'
67002,'red'
69002,'blue'
69004,'blue'
92009,'blue'
ZD001,'blue'
28002,'blue'
28003,'red'
28004,'blue'
29001,'blue'
29003,'red'
29004,'blue'
29005,'blue'
29006,'red'
29007,'blue'
29008,'red'
30002,'blue'
30003,'blue'
30004,'blue'
30005,'red'
31005,'red'
31006,'blue'
31007,'blue'
31008,'blue'
31010,'blue'
32001,'red'
32002,'red'
33005,'blue'
33008,'red'
33009,'blue'
33010,'red'
33011,'red'
33012,'blue'
34004,'red'
34005,'blue'
34007,'blue'
35002,'blue'
35003,'blue'
35004,'blue'
35005,'blue'
35006,'red'
35007,'red'
36001,'blue'
36002,'red'
37002,'red'
37003,'blue'
37004,'red'
37005,'red'
38004,'blue'
38005,'blue'
38006,'blue'
38007,'blue'
38008,'red'
38009,'blue'
38010,'red'
39001,'red'
39002,'red'
39003,'red'
40001,'red'
40002,'red'
40003,'blue'
41001,'blue'
41002,'blue'
41003,'blue'
42003,'blue'
42004,'blue'
42005,'red'
42006,'red'
43001,'red'
43002,'blue'
44006,'red'
44007,'blue'
44008,'blue'
44009,'blue'
44010,'blue'
45003,'red'
45004,'blue'
45005,'red'
46001,'red'
46002,'red'
47001,'blue'
47002,'red'
47003,'blue'
48001,'blue'
49005,'blue'
49007,'red'
50001,'red'
50002,'blue'
50003,'red'
50004,'blue'
51001,'blue'
51002,'red'
51003,'red'
51004,'red'
51005,'blue'
52001,'blue'
52002,'blue'
53001,'red'
53002,'red'
53003,'red'
54003,'red'
54004,'blue'
54005,'red'
54006,'red'
55001,'red'
55002,'red'
56001,'red'
56002,'blue'
56003,'red'
56004,'blue'
56006,'red'
57003,'red'
57004,'blue'
57005,'blue'
57007,'blue'
57008,'red'
57009,'blue'
58001,'red'
58002,'red'
59015,'red'
59021,'red'
60001,'blue'
60002,'red'
60003,'blue'
60004,'red'
60005,'blue'
60006,'blue'
60007,'blue'
61001,'red'
61002,'blue'
61003,'red'
62001,'red'
62002,'red'
62004,'blue'
62005,'red'
62006,'blue'
62007,'blue'
62008,'red'
62009,'blue'
62010,'blue'
62012,'blue'
63002,'blue'
63003,'blue'
63004,'blue'
63005,'blue'
64002,'blue'
64003,'red'
64004,'red'
64005,'red'
64006,'blue'
65001,'blue'
65002,'blue'
66002,'blue'
66003,'blue'
66004,'blue'
67004,'blue'
67005,'blue'
67006,'red'
67007,'blue'
67008,'red'
67009,'red'
68002,'blue'
68003,'blue'
68004,'red'
69008,'blue'
69009,'red'
69010,'blue'
69011,'blue'
69012,'blue'
69013,'red'
70001,'red'
70002,'blue'
71001,'red'
38003,'red'
57001,'blue'
59004,'red'
59013,'red'
59014,'red'
63001,'red'
66001,'blue'
67001,'red'
68005,'red'
69014,'red'
75003,'blue'
06003,'red'
31001,'red'
33001,'red'
54001,'blue'
59001,'blue'
59019,'blue'
62003,'red'
62011,'blue'
69001,'blue'
69003,'red'
71002,'blue'
71003,'red'
71004,'blue'
71005,'blue'
72001,'red'
72002,'red'
72003,'red'
72004,'blue'
72005,'blue'
73001,'blue'
73002,'blue'
73003,'blue'
73004,'red'
74001,'blue'
74002,'blue'
74003,'red'
74004,'blue'
74005,'red'
74006,'red'
76002,'blue'
76004,'red'
76005,'blue'
76006,'blue'
76009,'blue'
76010,'red'
77001,'blue'
77002,'blue'
77003,'red'
77004,'blue'
77005,'red'
77006,'red'
77007,'red'
77008,'blue'
77009,'red'
78002,'blue'
78006,'blue'
78007,'red'
78008,'blue'
78009,'blue'
78010,'blue'
78012,'red'
79001,'red'
79002,'blue'
79003,'red'
80001,'red'
80003,'blue'
80004,'blue'
80005,'red'
81001,'blue'
81002,'blue'
81003,'red'
82001,'red'
82002,'red'
83004,'blue'
83005,'red'
83006,'blue'
83008,'blue'
84002,'red'
84004,'red'
84005,'blue'
85001,'blue'
85003,'blue'
85004,'red'
85005,'blue'
86003,'red'
86004,'blue'
87002,'blue'
88001,'red'
88002,'blue'
88003,'red'
88004,'red'
89001,'red'
89002,'red'
89003,'blue'
90001,'red'
90002,'blue'
91002,'blue'
91003,'blue'
91004,'red'
91005,'red'
91009,'blue'
92013,'red'
93004,'red'
93008,'red'
94003,'blue'
94004,'blue'
95001,'red'
95006,'red'
95007,'blue'
95009,'blue'
ZB001,'red'
ZB002,'red'
ZB004,'blue'
ZC001,'blue'
ZC002,'blue'
2A001,'red'
2A002,'red'
2B001,'blue'
2B002,'red'
29002,'blue'
35008,'blue'
59011,'blue'
59018,'blue'
06009,'blue'
13002,'red'
25001,'blue'
25002,'red'
28001,'red'
31009,'red'
34001,'red'
34002,'blue'
34003,'red'
34008,'red'
34009,'blue'
35001,'blue'
44005,'blue'
49001,'blue'
49002,'red'
49003,'red'
49006,'red'
59012,'red'
68006,'red'
75004,'red'
75006,'blue'
75009,'blue'
75012,'blue'
75017,'blue'
76007,'blue'
76008,'blue'
83002,'blue'
86001,'red'
86002,'red'
92001,'blue'
92003,'red'
92011,'blue'
93001,'blue'
93006,'blue'
93010,'blue'
94001,'blue'
94006,'red'
94008,'red'
94009,'blue'
94010,'red'
94011,'red'
ZD002,'blue'
ZD005,'red'
ZD006,'red'
ZD007,'blue'
45006,'blue'
06008,'red'
10003,'red'
13003,'blue'
13004,'blue'
13005,'blue'
13006,'red'
13007,'blue'
21001,'red'
21003,'blue'
27001,'red'
27002,'red'
33003,'blue'
33006,'blue'
37001,'red'
42001,'red'
42002,'blue'
44001,'blue'
44002,'red'
44003,'blue'
44004,'red'
45001,'red'
45002,'red'
49004,'blue'
54002,'red'
57002,'red'
59003,'red'
64001,'red'
69005,'red'
69007,'red'
75001,'blue'
75002,'red'
75005,'blue'
75007,'red'
75008,'red'
75010,'blue'
75011,'blue'
75013,'blue'
75014,'red'
75015,'red'
75016,'blue'
75018,'blue'
76001,'red'
76003,'red'
77010,'blue'
77011,'blue'
78001,'red'
78003,'red'
78011,'blue'
80002,'red'
83001,'red'
83007,'red'
84001,'red'
84003,'red'
85002,'red'
87001,'blue'
87003,'red'
91007,'red'
91008,'red'
91010,'red'
92002,'blue'
92004,'blue'
92005,'blue'
92006,'red'
92008,'blue'
92010,'blue'
93002,'red'
93005,'red'
93007,'red'
93009,'red'
93011,'red'
93012,'blue'
94002,'red'
94007,'red'
95002,'blue'
95003,'red'
95004,'red'
95008,'blue'
95010,'red'
ZB003,'blue'
ZD004,'red'
68001,'red'
94005,'red'
ZD003,'blue'
59007,'red'
ZN001,'blue'
ZN002,'red'
ZS001,'blue'
ZX001,'blue'
ZW001,'blue'
ZP001,'red'
ZP002,'red'
ZP003,'blue'
